condition,edgeId,fluxMagnitude,segmentCount
scarcity_mutable,1.1.2.2->2.1.2.2,0.0013675874103865947,1
scarcity_mutable,1.2.1.0->1.2.1.0,0.0,19
scarcity_mutable,1.2.1.1->1.2.1.1,0.0024344715863736373,118
scarcity_mutable,1.2.1.2->1.2.1.2,0.0,26
scarcity_mutable,1.2.1.3->1.2.1.3,0.0,2
scarcity_mutable,1.2.2.1->1.2.2.1,0.0,25
scarcity_mutable,1.2.2.2->1.2.2.2,0.0008384408861720096,31
scarcity_mutable,2.0.1.1->2.0.1.1,0.004727737009194305,27
scarcity_mutable,2.0.1.1->2.0.2.1,0.009454534558896041,1
scarcity_mutable,2.0.1.1->2.1.1.1,0.000748879906768268,1
scarcity_mutable,2.0.1.2->2.0.1.2,0.0,9
scarcity_mutable,2.0.2.1->2.0.2.1,0.0,5
scarcity_mutable,2.1.0.0->2.1.0.0,0.006260749953640687,33
scarcity_mutable,2.1.0.1->2.1.0.1,0.019092618727200368,128
scarcity_mutable,2.1.0.1->2.1.1.1,0.0017847597045264289,1
scarcity_mutable,2.1.0.2->2.1.0.1,0.0047332539047328075,1
scarcity_mutable,2.1.0.2->2.1.0.2,0.012568244429282938,57
scarcity_mutable,2.1.1.0->2.1.1.0,0.009041893010530627,123
scarcity_mutable,2.1.1.1->1.1.1.0,0.0005463917272442628,1
scarcity_mutable,2.1.1.1->1.1.1.1,0.005148103304109174,2
scarcity_mutable,2.1.1.1->2.1.0.1,0.0024216931722443806,1
scarcity_mutable,2.1.1.1->2.1.1.1,0.29127671087686574,1386
scarcity_mutable,2.1.1.1->2.1.1.2,0.008942125402809203,4
scarcity_mutable,2.1.1.1->2.1.2.1,0.006431960686472168,2
scarcity_mutable,2.1.1.2->2.1.0.2,0.010208817883636862,3
scarcity_mutable,2.1.1.2->2.1.1.1,0.0072163044823939275,2
scarcity_mutable,2.1.1.2->2.1.1.2,0.12048804767553137,765
scarcity_mutable,2.1.1.2->2.1.2.2,0.008790248386277554,2
scarcity_mutable,2.1.1.3->2.1.1.2,0.0010335195823917077,1
scarcity_mutable,2.1.1.3->2.1.1.3,0.0,22
scarcity_mutable,2.1.2.0->2.1.2.0,0.0,2
scarcity_mutable,2.1.2.0->2.1.2.1,0.0023005118165597732,1
scarcity_mutable,2.1.2.1->2.1.1.1,0.008505681271215842,2
scarcity_mutable,2.1.2.1->2.1.2.0,0.0031613191060096313,1
scarcity_mutable,2.1.2.1->2.1.2.1,0.09485884072523205,486
scarcity_mutable,2.1.2.1->2.2.1.1,0.0033561338163796807,1
scarcity_mutable,2.1.2.1->2.2.2.1,0.0016271718703782356,1
scarcity_mutable,2.1.2.2->2.1.1.2,0.020560666069533613,1
scarcity_mutable,2.1.2.2->2.1.2.2,0.009972320614526822,141
scarcity_mutable,2.2.0.2->2.1.0.2,0.0019923893184529027,1
scarcity_mutable,2.2.0.2->2.2.0.2,0.004680313267969181,21
scarcity_mutable,2.2.1.0->2.2.1.0,0.0,28
scarcity_mutable,2.2.1.1->2.1.1.1,0.0014749827335770057,1
scarcity_mutable,2.2.1.1->2.2.1.1,0.01037554850537405,209
scarcity_mutable,2.2.1.1->2.2.2.1,0.001762453600006756,1
scarcity_mutable,2.2.1.1->3.2.2.1,0.0025654688180163183,1
scarcity_mutable,2.2.1.2->2.2.1.2,0.0021589027082305734,83
scarcity_mutable,2.2.2.1->2.2.2.1,0.022888009798345148,100
scarcity_mutable,2.2.2.2->2.2.2.2,0.00901189626978469,77
scarcity_mutable,3.1.1.1->3.1.1.1,0.0,23
scarcity_mutable,3.2.2.1->3.2.2.1,0.006439371706406827,20
neutral_bottleneck_mutable,0.0.1.1->0.0.1.1,0.0,1
neutral_bottleneck_mutable,1.0.1.0->1.0.1.0,0.0062896212751685195,16
neutral_bottleneck_mutable,1.0.1.1->1.0.1.0,0.00793899332285394,1
neutral_bottleneck_mutable,1.0.1.1->1.0.1.1,0.030767558548007105,23
neutral_bottleneck_mutable,1.0.1.2->1.0.1.2,0.014272302554788415,34
neutral_bottleneck_mutable,1.0.2.1->1.0.2.1,0.0,1
neutral_bottleneck_mutable,1.0.2.1->2.0.2.1,0.003632183304760607,1
neutral_bottleneck_mutable,1.0.2.2->1.0.2.2,0.03240123126222025,34
neutral_bottleneck_mutable,1.1.0.1->1.1.0.1,0.04066403466467555,34
neutral_bottleneck_mutable,1.1.0.2->1.1.0.2,0.0,4
neutral_bottleneck_mutable,1.1.1.0->1.1.1.0,0.007640585064555259,24
neutral_bottleneck_mutable,1.1.1.0->2.1.1.0,0.001304912952176453,1
neutral_bottleneck_mutable,1.1.1.1->1.0.1.1,0.006412526664425984,1
neutral_bottleneck_mutable,1.1.1.1->1.1.1.0,0.005294240628067054,1
neutral_bottleneck_mutable,1.1.1.1->1.1.1.1,0.14479249066282812,246
neutral_bottleneck_mutable,1.1.1.1->1.2.1.1,0.007006491876843877,1
neutral_bottleneck_mutable,1.1.1.2->1.1.1.2,0.06394067540844725,120
neutral_bottleneck_mutable,1.1.1.2->2.1.1.2,0.006602543457250286,1
neutral_bottleneck_mutable,1.1.2.0->1.1.2.0,0.0,2
neutral_bottleneck_mutable,1.1.2.1->1.1.1.1,0.013266721882665485,2
neutral_bottleneck_mutable,1.1.2.1->1.1.2.1,0.11297526441513356,107
neutral_bottleneck_mutable,1.1.2.1->1.1.2.2,0.009980798202974319,1
neutral_bottleneck_mutable,1.1.2.2->1.1.2.2,0.024226284654538764,69
neutral_bottleneck_mutable,1.2.1.0->1.2.1.0,0.0,2
neutral_bottleneck_mutable,1.2.1.1->1.1.1.1,0.011145347077752473,2
neutral_bottleneck_mutable,1.2.1.1->1.2.1.1,0.0020202168624918262,40
neutral_bottleneck_mutable,1.2.1.1->2.2.1.1,0.002541499182477871,1
neutral_bottleneck_mutable,1.2.1.2->1.2.1.2,0.006892062451761424,28
neutral_bottleneck_mutable,1.2.1.2->2.1.1.2,0.003772065385775646,1
neutral_bottleneck_mutable,1.2.1.3->1.2.1.3,0.0,1
neutral_bottleneck_mutable,1.2.2.1->1.2.2.1,0.0070618914227639235,26
neutral_bottleneck_mutable,1.2.2.1->2.2.1.1,0.0015633916035329085,1
neutral_bottleneck_mutable,1.2.2.2->1.2.1.2,0.002297419247147528,1
neutral_bottleneck_mutable,1.2.2.2->1.2.2.2,0.0,6
neutral_bottleneck_mutable,2.0.1.1->2.0.1.1,0.009367514518362777,8
neutral_bottleneck_mutable,2.0.1.1->2.1.1.1,0.005313689786815781,1
neutral_bottleneck_mutable,2.0.2.1->2.0.2.1,0.025232476416561418,62
neutral_bottleneck_mutable,2.1.0.0->2.1.0.0,0.0,1
neutral_bottleneck_mutable,2.1.0.1->1.1.0.1,0.007476992947066408,1
neutral_bottleneck_mutable,2.1.0.1->2.1.0.1,0.0,4
neutral_bottleneck_mutable,2.1.0.2->2.1.0.2,0.06403345260129112,83
neutral_bottleneck_mutable,2.1.0.2->2.1.1.2,0.008169139955779215,1
neutral_bottleneck_mutable,2.1.1.0->2.1.1.0,0.040426626387335844,38
neutral_bottleneck_mutable,2.1.1.0->2.1.1.1,0.0028644545757352154,1
neutral_bottleneck_mutable,2.1.1.1->1.1.1.1,0.017718529362630478,2
neutral_bottleneck_mutable,2.1.1.1->1.1.1.2,0.001789160374853408,1
neutral_bottleneck_mutable,2.1.1.1->2.0.1.1,0.007071709416233753,1
neutral_bottleneck_mutable,2.1.1.1->2.1.1.0,0.025689016634422995,1
neutral_bottleneck_mutable,2.1.1.1->2.1.1.1,0.3013826376183361,373
neutral_bottleneck_mutable,2.1.1.1->2.1.1.2,0.0041932057632282655,1
neutral_bottleneck_mutable,2.1.1.1->2.1.2.1,0.026599548776201062,2
neutral_bottleneck_mutable,2.1.1.2->2.1.0.2,0.025134863859788612,2
neutral_bottleneck_mutable,2.1.1.2->2.1.1.1,0.00689746366075271,1
neutral_bottleneck_mutable,2.1.1.2->2.1.1.2,0.12577636805553444,227
neutral_bottleneck_mutable,2.1.1.2->2.1.2.1,0.009790370401301242,1
neutral_bottleneck_mutable,2.1.1.2->2.1.2.2,0.015849023258956246,1
neutral_bottleneck_mutable,2.1.1.3->2.1.1.3,0.0,2
neutral_bottleneck_mutable,2.1.2.0->2.1.2.0,0.02567979666453066,32
neutral_bottleneck_mutable,2.1.2.1->2.0.2.1,0.008552899295877357,1
neutral_bottleneck_mutable,2.1.2.1->2.1.2.0,0.00693717564044031,1
neutral_bottleneck_mutable,2.1.2.1->2.1.2.1,0.16244230529798212,174
neutral_bottleneck_mutable,2.1.2.2->2.1.2.2,0.019977440517546317,39
neutral_bottleneck_mutable,2.2.0.2->2.2.0.2,0.0,1
neutral_bottleneck_mutable,2.2.1.0->2.2.1.0,0.0,1
neutral_bottleneck_mutable,2.2.1.1->2.2.1.1,0.04553218766661734,59
neutral_bottleneck_mutable,2.2.1.2->2.2.1.2,0.0017028390728565895,23
neutral_bottleneck_mutable,2.2.2.1->2.2.2.1,0.08303285354972213,37
neutral_bottleneck_mutable,2.2.2.2->2.2.1.2,0.0026078573854007724,1
neutral_bottleneck_mutable,2.2.2.2->2.2.2.2,0.003245262301306802,20
neutral_bottleneck_mutable,3.1.1.1->3.1.1.1,0.0,1
